0,,4
1,"""1、负责应用系统的版本发布工作",0
2,"如你有品牌设计经验，也有UI设计背景，那就来吧！""",1
3,"协助解决生产系统生产问题""",4
4,根据项目需求完成多媒体交互图形界面开发，完成数据交互、动态信息展现,1
5,根据产品提供的需求文档，评审需求及工作量，并保证开发的功能的稳定性。2.评审测试人员提供的测试用例，并配合测试人员完成测试工作。3.负责模块设计，项目相关的技术文档的编写工作。3.负责项目中主要功能的代码实现，同时参与后期的生产问题解决,1
6,"根据公司发展规划，制定通用性/行业性技术解决方案；""",2
7,熟悉ActionScript编程语言,1
8,负责与业务部门交互沟通，协调研发部门、基础架构部门完成运维需求交付，包括生产和测试环境的搭建和应用版本发布，并提供运维服务报告,0
9,负责日常大客户运维保障支持（重点客户）提供大客户系统服务解决方案，协助业务区市场部电子运单的应用推广,0
10,"数据图表化展示，能够完成前端图表展示开发""",1
11,"具备5年以上WMS或OMS项目实施经历，领导或参与3个以上大中型WMS项目并成功实施,有乙方实施或产品设计工作经历优选",4
12,上网行为规范管理,4
13,参与系统联调测试、用户接收测试方案、测试业务场景或测试用例、测试报告的编写与审核工作,1
14,"""1、根据用户需求完成产品的ID设计",2
15,，实施软件测试，负责编写文本、自动化测试用例及部分测试脚本,1
16,产品持续运营：负责制定相关运营政策（如内容完善、活动策划、促销推广等），达成产品运营目标,4
17,"主动与产品沟通，不断优化测试方法、提升测试效率。""",2
18,协助各研发中心GIT考核验收工作,4
19,具有熟练的编码能力和技术学习能力，且具有创新精神,1
20,善用UML方式表达设计思路,1
21,负责Unity3D产品的系统逻辑3、UI、工具、图形特效的程序开发，协同策划和美术优化改善产品,1
22,支持研发部完成相关系统和设备的测试工作,0
23,"跟进产品运营情况，了解竞品动向，关注市场动态，并提出相应对策和方案。""",4
24,负责公司各业务系统的Linux&Unix操作系统、云平台、docker平台运维、开发工作,0
25,，负责中间件日常运维规划的制定与完善,0
26,"对接业务，负责整理、分析一线业务需求，推动解决推广中遇到的问题；""",2
27,应用系统和数据库资源容量评估、环境交付，性能瓶颈分析及优化,2
28,负责产业园相关智能化设备的需求承接,0
29,"""1、负责国际物流交易平台的产品规划，包括但不限于产品设计、业务流程设计、功能设计、UI界面设计和技术编写开发需求等",1
30,"""1.负责机器人计算机视觉算法和深度学习算法的研发工作",1
31,关注行业发展方向和公司业务趋势，保证公司技术解决方案的市场领先性,2
32,"从需求角度进行需求测试验证。""",2
33,"制定大数据的技术解决方案及规划，理解业务需求，推进大数据的应用。""",2
34,负责制定产品业务规范，撰写产品需求文档及梳理业务流程,2
35,"""1.为客户提供系统解决方案，包括客户需求调研、业务流程分析、产品规划、产品设计等工作，制定并编写解决方案",2
36,４、跟踪存储行业最新发展技术、研究和积累新技术,2
37,负责产品功能维护和改进,0
38,"""1、按照开发规范，标准、规范、严格地进行项目编码开发",1
39,"""1.负责客户处投放热敏打印机安装调试",0
40,"建立场地规划的工作制度与流程，确保日常工作的职责明确化、流程合理化；""",4
41,需求,2
42,负责应用系统重大故障快速诊断及解决，跟进及推动故障改进措施实施；制定系统运行应急方案，并使用应急预案优先恢复应用系统,4
43,负责,0
44,"项目进度控制，与供应商及外协单位沟通技术方案及项目进度；""",4
45,负责需求调研、分析、研发、测试、上线整个需求过程的管控与协调,2
46,独立推动设备生产供应商配件打样、生产进度,4
47,从客户以及经营的维度实施数据分析与挖掘，为业务区经营提供IT技术支持,2
48,"""1、负责视频结构化和行为检测相关算法研究和实现",1
49,"""1、	负责应用环境部署与维护，安全稳定运行",0
50,跟踪项目进度，使用相应bug管理工具对缺陷进行追踪，承担负责项目或模块的质量,4
51,负责专送产品与北京同城平台的对接与开发,0
52,"""1、负责产业园建设和运营过程中网络系统的需求调研、设备规划、安装调试等相关工作",0
53,独立进行相关功能的单元测试、集成联调测试，及时发现问题并修复，以保证质量,1
54,"负责策划组织市场活动，如行业展会、高端论坛等；""",4
55,"构建并设计仓库管理系统的核心功能，输出PRD（产品说明书）；""",1
56,为新入职的同事提供工作所需的技术培训,4
57,负责鄂州枢纽工程实施期间所需各类信息系统、信息基础设施的规划、建设、管理,4
58,嵌入式软件测试用例执行经验,1
59,负责整理和分析客户需求，对其分类汇总和实现预估，提出产品发展计划，总结提炼出解决方案与需求分析报告,2
60,"研究和探索创新的开发思路和最新的前端技术。""",2
61,熟练掌握调试分析、注重代码质量,1
